onset	duration	weight	trial_type	aux	word	concreteness	log_freq	denb	freq_den_interxn
12.279	0	1	SparseCorrect	NA	speech	3.14	10.5	3	31.5
18.419	0	1	DenseCorrect	NA	rake	4.1	6.82	30	204.6
24.559	0	1	DenseCorrect	NA	hear	3.56	11.41	30	342.3
30.699	0	1	DenseCorrect	NA	mum	4.04	7.28	23	167.44
42.978	0	1	noise	NA	null	-1	-1	-1	-1
49.118	0	1	SparseCorrect	NA	sperm	4.7	8.44	4	33.76
55.258	0	1	SparseCorrect	NA	world	4.15	12.6	5	63
67.538	0	1	DenseIncorrect	NA	nail	4.17	8.43	26	219.18
73.677	0	1	SparseCorrect	NA	launch	3.34	9.47	5	47.35
79.817	0	1	SparseCorrect	NA	smith	4.92	10.73	3	32.19
85.956	0	1	noise	NA	null	-1	-1	-1	-1
92.096	0	1	DenseCorrect	NA	hair	4.96	10.66	24	255.84
104.376	0	1	noise	NA	null	-1	-1	-1	-1
110.515	0	1	DenseCorrect	NA	beak	4.96	6.37	28	178.36
122.795	0	1	DenseCorrect	NA	cut	4.33	11.5	25	287.5
128.935	0	1	SparseCorrect	NA	mule	4.89	7.31	6	43.86
135.075	0	1	SparseCorrect	NA	kept	2.48	10.56	3	31.68
141.215	0	1	SparseIncorrect	NA	farm	4.48	9.29	6	55.74
153.494	0	1	DenseCorrect	NA	fire	4.66	11.05	22	243.1
159.634	0	1	noise	NA	null	-1	-1	-1	-1
165.774	0	1	SparseCorrect	NA	judge	3.57	10.25	6	61.5
171.914	0	1	DenseIncorrect	NA	soap	4.86	8.99	21	188.79
178.052	0	1	SparseCorrect	NA	dance	3.79	10.17	6	61.02
184.192	0	1	DenseCorrect	NA	buck	4.67	8.82	29	255.78
196.472	0	1	noise	NA	null	-1	-1	-1	-1
202.612	0	1	SparseCorrect	NA	was	4.79	14.56	1	14.56
208.752	0	1	noise	NA	null	-1	-1	-1	-1
214.891	0	1	noise	NA	null	-1	-1	-1	-1
221.031	0	1	SparseCorrect	NA	month	4.04	11.24	2	22.48
239.451	0	1	noise	NA	null	-1	-1	-1	-1
245.591	0	1	DenseCorrect	NA	seek	2.5	9.89	31	306.59
251.73	0	1	DenseCorrect	NA	ten	4.14	10.57	27	285.39
257.87	0	1	SparseCorrect	NA	rinse	3.6	7.44	5	37.2
264.009	0	1	DenseCorrect	NA	shut	3.18	9.89	21	207.69
270.149	0	1	SparseCorrect	NA	fresh	1.83	9.65	4	38.6
276.289	0	1	DenseCorrect	NA	peak	4.12	9.04	31	280.24
282.429	0	1	DenseCorrect	NA	know	5	13.59	27	366.93
288.568	0	1	DenseIncorrect	NA	hole	4.79	10.16	31	314.96
294.708	0	1	DenseIncorrect	NA	hip	4.17	8.83	28	247.24
306.988	0	1	noise	NA	null	-1	-1	-1	-1
313.128	0	1	noise	NA	null	-1	-1	-1	-1
319.267	0	1	SparseCorrect	NA	spank	3.62	7.29	4	29.16
325.407	0	1	DenseCorrect	NA	late	2.5	10.92	32	349.44
331.547	0	1	SparseIncorrect	NA	staff	4.17	10.62	5	53.1
337.687	0	1	SparseCorrect	NA	sparse	2.08	7.18	3	21.54
349.967	0	1	DenseCorrect	NA	save	2.24	11.05	22	243.1
356.105	0	1	DenseCorrect	NA	pitch	3.92	9.08	24	217.92
362.245	0	1	SparseCorrect	NA	snail	4.81	9.23	5	46.15
368.385	0	1	SparseIncorrect	NA	squad	3.41	8.48	5	42.4
374.525	0	1	SparseCorrect	NA	brook	4.32	7.93	6	47.58
