onset	duration	weight	trial_type	aux	word	concreteness	log_freq	denb	freq_den_interxn
12.28	0	1	SparseCorrect	NA	sparse	2.08	7.18	3	21.54
18.42	0	1	noise	NA	null	-1	-1	-1	-1
24.56	0	1	SparseCorrect	NA	spank	3.62	7.29	4	29.16
30.7	0	1	DenseCorrect	NA	toot	3.32	5.55	27	149.85
36.839	0	1	DenseCorrect	NA	wire	4.64	9.72	22	213.84
42.978	0	1	noise	NA	null	-1	-1	-1	-1
49.118	0	1	DenseIncorrect	NA	hum	4.23	7.96	25	199
55.258	0	1	noise	NA	null	-1	-1	-1	-1
61.398	0	1	SparseCorrect	NA	snail	4.81	9.23	5	46.15
67.538	0	1	SparseCorrect	NA	kept	2.48	10.56	3	31.68
73.678	0	1	noise	NA	null	-1	-1	-1	-1
79.818	0	1	DenseCorrect	NA	rub	3.93	8.35	23	192.05
92.097	0	1	SparseCorrect	NA	launch	3.34	9.47	5	47.35
98.237	0	1	noise	NA	null	-1	-1	-1	-1
104.377	0	1	noise	NA	null	-1	-1	-1	-1
110.517	0	1	SparseCorrect	NA	fresh	1.83	9.65	4	38.6
116.657	0	1	SparseCorrect	NA	month	4.04	11.24	2	22.48
128.936	0	1	SparseCorrect	NA	mule	4.89	7.31	6	43.86
135.075	0	1	DenseCorrect	NA	gut	4.11	8.22	24	197.28
153.495	0	1	SparseCorrect	NA	speech	3.14	10.5	3	31.5
159.635	0	1	noise	NA	null	-1	-1	-1	-1
165.775	0	1	noise	NA	null	-1	-1	-1	-1
178.054	0	1	SparseCorrect	NA	brook	4.32	7.93	6	47.58
196.474	0	1	DenseCorrect	NA	knight	3.67	9.81	24	235.44
202.614	0	1	DenseCorrect	NA	tight	2.22	9.87	30	296.1
214.894	0	1	noise	NA	null	-1	-1	-1	-1
221.034	0	1	DenseCorrect	NA	loan	3.66	9.16	33	302.28
227.172	0	1	DenseCorrect	NA	toll	3.4	8.93	33	294.69
233.312	0	1	SparseIncorrect	NA	squad	3.41	8.48	5	42.4
239.452	0	1	noise	NA	null	-1	-1	-1	-1
245.592	0	1	DenseIncorrect	NA	sin	1.66	9.77	31	302.87
251.732	0	1	DenseCorrect	NA	shear	3.17	6.81	26	177.06
264.012	0	1	SparseCorrect	NA	dance	3.79	10.17	6	61.02
270.151	0	1	DenseIncorrect	NA	fan	4.7	10.53	21	221.13
276.291	0	1	DenseCorrect	NA	but	1.68	14.57	35	509.95
282.431	0	1	SparseCorrect	NA	rinse	3.6	7.44	5	37.2
288.571	0	1	SparseCorrect	NA	smith	4.92	10.73	3	32.19
294.711	0	1	DenseCorrect	NA	hit	3.96	11.07	33	365.31
300.851	0	1	DenseCorrect	NA	bake	4.21	7.84	29	227.36
306.991	0	1	DenseCorrect	NA	made	2.4	12.51	24	300.24
313.131	0	1	SparseCorrect	NA	was	4.79	14.56	1	14.56
319.269	0	1	DenseCorrect	NA	take	2.86	12.71	25	317.75
325.409	0	1	DenseCorrect	NA	nine	4.46	9.6	21	201.6
331.549	0	1	SparseCorrect	NA	judge	3.57	10.25	6	61.5
343.829	0	1	SparseCorrect	NA	sperm	4.7	8.44	4	33.76
349.969	0	1	DenseCorrect	NA	cheek	4.83	8.18	21	171.78
356.109	0	1	SparseCorrect	NA	staff	4.17	10.62	5	53.1
362.248	0	1	SparseCorrect	NA	world	4.15	12.6	5	63
368.388	0	1	SparseIncorrect	NA	farm	4.48	9.29	6	55.74
374.528	0	1	DenseCorrect	NA	kick	4.1	9.9	28	277.2
