onset	duration	weight	trial_type	aux	word	concreteness	log_freq	denb	freq_den_interxn
12.279	0	1	DenseCorrect	NA	shell	4.74	10.52	21	220.92
18.419	0	1	SparseCorrect	NA	speech	3.14	10.5	3	31.5
24.558	0	1	SparseCorrect	NA	smith	4.92	10.73	3	32.19
30.698	0	1	SparseIncorrect	NA	kept	2.48	10.56	3	31.68
36.838	0	1	noise	NA	null	-1	-1	-1	-1
42.977	0	1	DenseCorrect	NA	main	2.33	11.21	31	347.51
49.116	0	1	DenseIncorrect	NA	chick	4.93	8.06	23	185.38
61.395	0	1	SparseCorrect	NA	sparse	2.08	7.18	3	21.54
67.534	0	1	DenseCorrect	NA	lamb	4.93	8.14	27	219.78
73.674	0	1	noise	NA	null	-1	-1	-1	-1
79.813	0	1	SparseCorrect	NA	spank	3.62	7.29	4	29.16
85.953	0	1	DenseIncorrect	NA	lit	3.53	8.59	37	317.83
92.092	0	1	DenseCorrect	NA	grate	4.79	6.6	21	138.6
98.232	0	1	SparseCorrect	NA	rinse	3.6	7.44	5	37.2
122.79	0	1	DenseCorrect	NA	rod	4.35	9.88	21	207.48
128.93	0	1	DenseIncorrect	NA	men	4.7	11.5	27	310.5
135.069	0	1	noise	NA	null	-1	-1	-1	-1
147.347	0	1	SparseCorrect	NA	squad	3.41	8.48	5	42.4
153.487	0	1	SparseCorrect	NA	sperm	4.7	8.44	4	33.76
159.626	0	1	SparseCorrect	NA	world	4.15	12.6	5	63
165.766	0	1	DenseIncorrect	NA	tyke	3.88	4.71	25	117.75
171.905	0	1	DenseCorrect	NA	fate	1.33	9.05	29	262.45
178.045	0	1	noise	NA	null	-1	-1	-1	-1
184.185	0	1	DenseCorrect	NA	rye	4.68	7.14	37	264.18
190.324	0	1	noise	NA	null	-1	-1	-1	-1
196.464	0	1	DenseCorrect	NA	lace	4.81	8.1	29	234.9
208.743	0	1	SparseCorrect	NA	month	4.04	11.24	2	22.48
221.022	0	1	DenseCorrect	NA	beat	3.97	10.41	33	343.53
227.161	0	1	SparseCorrect	NA	launch	3.34	9.47	5	47.35
233.3	0	1	DenseIncorrect	NA	dull	2.33	8.44	23	194.12
245.579	0	1	noise	NA	null	-1	-1	-1	-1
251.719	0	1	SparseCorrect	NA	fresh	1.83	9.65	4	38.6
257.858	0	1	SparseCorrect	NA	staff	4.17	10.62	5	53.1
263.998	0	1	SparseCorrect	NA	dance	3.79	10.17	6	61.02
270.137	0	1	DenseCorrect	NA	curl	4.22	7.12	23	163.76
276.277	0	1	SparseCorrect	NA	farm	4.48	9.29	6	55.74
282.416	0	1	noise	NA	null	-1	-1	-1	-1
288.556	0	1	DenseCorrect	NA	sheet	4.86	9.74	23	224.02
294.695	0	1	SparseCorrect	NA	brook	4.32	7.93	6	47.58
300.835	0	1	DenseCorrect	NA	pose	3.17	8.38	21	175.98
306.974	0	1	DenseCorrect	NA	might	2.21	12.53	28	350.84
313.114	0	1	DenseCorrect	NA	read	3.37	12.58	28	352.24
319.254	0	1	noise	NA	null	-1	-1	-1	-1
331.532	0	1	noise	NA	null	-1	-1	-1	-1
337.671	0	1	SparseCorrect	NA	was	4.79	14.56	1	14.56
343.811	0	1	DenseIncorrect	NA	bell	4.96	10.12	27	273.24
349.95	0	1	SparseCorrect	NA	snail	4.81	9.23	5	46.15
356.09	0	1	noise	NA	null	-1	-1	-1	-1
368.369	0	1	SparseCorrect	NA	mule	4.89	7.31	6	43.86
374.508	0	1	SparseCorrect	NA	judge	3.57	10.25	6	61.5
